"genus_species","lat_lon_1","lat_lon_2","elev_1","elev_2","mean_yearly_max_temp1","mean_yearly_max_temp2","experienced_mean_yearly_max_temp1","experienced_mean_yearly_max_temp2","distance","temp_difference","experienced_temp_difference"
"Abudefduf saxatilis","9.66_-79.34","31.29_-113.54",NA,NA,29.8487499713898,30.9577500343323,29.8487499713898,30.9577500343323,4272437.97525037,1.10900006294251,1.10900006294251
"Acipenser brevirostrum","45.3_-66.13","32.89_-84.67",NA,NA,13.1849609375,22.9730163574219,4.75694080699576,18.1913065130061,2105989.72511648,9.78805541992188,13.4343657060103
"Acris crepitans","37.626_-89.498","40.514_-88.991",102,247,30.174839848745,28.8050140594255,30.174839848745,28.8050140594255,324461.178554076,1.36982578931951,1.36982578931951
"Acris crepitans","37.626_-89.498","42.779_-96.929",102,374,30.174839848745,26.7464170997496,30.174839848745,26.7464170997496,852726.756024805,3.42842274899538,3.42842274899538
"Acris crepitans","40.514_-88.991","42.779_-96.929",247,374,28.8050140594255,26.7464170997496,28.8050140594255,26.7464170997496,706466.332877611,2.05859695967586,2.05859695967586
"Agosia chrysogaster","32.874_-110.809","33.08_-108.46",NA,NA,30.117353404652,23.2295207630504,30.117353404652,23.2295207630504,220551.274103955,6.88783264160157,6.88783264160157
"Alosa pseudoharengus","42.08_-81.34","42.865433_-86.044501",NA,NA,24.8923674149947,24.8877426147461,24.8923674149947,24.8877426147461,395995.525696906,0.00462480024859246,0.00462480024859246
"Alosa pseudoharengus","42.08_-81.34","43.49_-87.24",NA,NA,24.8923674149947,24.8877426147461,24.8923674149947,24.8877426147461,506796.648416023,0.00462480024859246,0.00462480024859246
"Alosa pseudoharengus","42.865433_-86.044501","43.49_-87.24",NA,NA,24.8877426147461,24.8877426147461,24.8877426147461,24.8877426147461,119380.900672039,0,0
"Ambassis ambassis","-30.86_25.14","11.49_79.76",NA,NA,27.1626324740323,34.0238628040661,27.1626324740323,34.0238628040661,7498845.21089577,6.86123033003373,6.86123033003373
"Ambloplites rupestris","42.08_-81.34","36.94_-81.05",NA,NA,24.8923674149947,15.9185709173029,24.8923674149947,15.9185709173029,572722.898264362,8.97379649769177,8.97379649769177
"Ambystoma jeffersonianum","39.289_-86.773","39.424_-84.186",172,233,29.006480785865,28.2090203863965,26.0821095524088,25.4643614968823,223172.051530202,0.797460399468498,0.617748055526484
"Ambystoma jeffersonianum","39.289_-86.773","40.203_-77.195",172,158,29.006480785865,27.4748442553069,26.0821095524088,24.6625184929486,825676.029526462,1.5316365305581,1.41959105946014
"Ambystoma jeffersonianum","39.289_-86.773","47.165_-95.197",172,488,29.006480785865,25.6859921725417,26.0821095524088,21.9128918503138,1110180.37057306,3.32048861332325,4.16921770209495
"Ambystoma jeffersonianum","39.424_-84.186","40.203_-77.195",233,158,28.2090203863965,27.4748442553069,25.4643614968823,24.6625184929486,603879.873068364,0.734176131089601,0.801843003933655
