"genus_species","lat_lon_1","lat_lon_2","elev_1","elev_2","mean_yearly_max_temp1","mean_yearly_max_temp2","experienced_mean_yearly_max_temp1","experienced_mean_yearly_max_temp2","distance","temp_difference","experienced_temp_difference","population_source1","population_source2"
"Abudefduf saxatilis","9.66_-79.34","31.29_-113.54",NA,NA,29.8487499713898,30.9577500343323,29.8487499713898,30.9577500343323,4272437.97525037,1.10900006294251,1.10900006294251,"Intratherm","Intratherm"
"Abudefduf saxatilis","9.66_-79.34","-26.78389_-48.58361",NA,NA,29.8487499713898,28.0984998703003,29.8487499713898,28.0984998703003,5243688.79225616,1.75025010108947,1.75025010108947,"Intratherm","LPI"
"Abudefduf saxatilis","9.66_-79.34","-26.78472_-48.58417",NA,NA,29.8487499713898,28.0984998703003,29.8487499713898,28.0984998703003,5243717.53662892,1.75025010108947,1.75025010108947,"Intratherm","LPI"
"Abudefduf saxatilis","9.66_-79.34","17.950402_-67.048359",NA,NA,29.8487499713898,29.7964999198914,29.8487499713898,29.7964999198914,1616576.35560151,0.0522500514984081,0.0522500514984081,"Intratherm","LPI"
"Abudefduf saxatilis","31.29_-113.54","-26.78389_-48.58361",NA,NA,30.9577500343323,28.0984998703003,30.9577500343323,28.0984998703003,9451079.16044404,2.85925016403198,2.85925016403198,"Intratherm","LPI"
"Abudefduf saxatilis","31.29_-113.54","-26.78472_-48.58417",NA,NA,30.9577500343323,28.0984998703003,30.9577500343323,28.0984998703003,9451094.03450407,2.85925016403198,2.85925016403198,"Intratherm","LPI"
"Abudefduf saxatilis","31.29_-113.54","17.950402_-67.048359",NA,NA,30.9577500343323,29.7964999198914,30.9577500343323,29.7964999198914,4894266.72239623,1.16125011444092,1.16125011444092,"Intratherm","LPI"
"Abudefduf saxatilis","-26.78389_-48.58361","-26.78472_-48.58417",NA,NA,28.0984998703003,28.0984998703003,28.0984998703003,28.0984998703003,107.86032697981,0,0,"LPI","LPI"
"Abudefduf saxatilis","-26.78389_-48.58361","17.950402_-67.048359",NA,NA,28.0984998703003,29.7964999198914,28.0984998703003,29.7964999198914,5364530.33106399,1.69800004959107,1.69800004959107,"LPI","LPI"
"Abudefduf saxatilis","-26.78472_-48.58417","17.950402_-67.048359",NA,NA,28.0984998703003,29.7964999198914,28.0984998703003,29.7964999198914,5364592.34538056,1.69800004959107,1.69800004959107,"LPI","LPI"
"Acipenser brevirostrum","45.3_-66.13","32.89_-84.67",NA,NA,13.1849609375,22.9730163574219,4.75694080699576,18.1913065130061,2105989.72511648,9.78805541992188,13.4343657060103,"Intratherm","Intratherm"
"Acipenser brevirostrum","45.3_-66.13","41.868056_-73.946667",NA,NA,13.1849609375,29.6521046031605,4.75694080699576,25.0037121859464,736548.769895982,16.4671436656605,20.2467713789506,"Intratherm","LPI"
